work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,EN,FT,Research Engineer,125000,USD,125000,IT,100,IT,M
2025,SE,FT,AI Engineer,194000,USD,194000,US,100,US,M
2025,SE,FT,Engineer,170000,USD,170000,US,100,US,M
2025,EN,FT,Analyst,41440,USD,41440,US,100,US,M
2025,MI,FT,Research Associate,54000,USD,54000,US,100,US,M
2025,SE,FT,Research Scientist,159750,USD,159750,US,100,US,M
2025,SE,FT,Software Engineer,209000,USD,209000,CA,100,CA,M
2025,SE,FT,Engineer,180000,USD,180000,US,100,US,M
2025,MI,FT,Manager,250377,USD,250377,US,100,US,M
2025,SE,FT,AI Engineer,230000,USD,230000,UA,100,UA,M
2025,SE,FT,Data Analyst,68700,USD,68700,US,100,US,M
2025,SE,FT,Software Engineer,136300,USD,136300,US,100,US,M
2025,SE,FT,Engineer,177100,USD,177100,US,100,US,M
2025,SE,FT,AI Engineer,190137,USD,190137,US,100,US,M
2025,SE,FT,Consultant,92300,USD,92300,US,100,US,M
2025,MI,FT,Engineer,115100,USD,115100,US,100,US,M
2025,SE,FT,Machine Learning Engineer,110000,USD,110000,CA,100,CA,M
2025,SE,FT,AI Engineer,89900,USD,89900,US,100,US,M
2025,SE,FT,Software Engineer,115000,EUR,121052,ES,100,ES,M
2025,MI,FT,Analyst,109000,USD,109000,US,100,US,M
2025,MI,FT,Machine Learning Engineer,120000,USD,120000,ES,100,ES,M
2025,MI,FT,Manager,151250,USD,151250,CA,100,CA,M
2025,MI,FT,Data Scientist,154700,USD,154700,US,100,US,M
2025,SE,FT,Engineer,346000,USD,346000,US,100,US,M
2025,MI,FT,QA Tutor Reviewer,24000,USD,24000,CR,100,CR,M
2025,EN,FT,Data Scientist,194180,USD,194180,US,100,US,M
2025,SE,FT,Data Governance Lead,248795,USD,248795,US,100,US,M
2025,SE,FT,Engineer,280600,USD,280600,US,100,US,M
2025,MI,FT,Product Manager,197200,USD,197200,US,100,US,M
2025,SE,FT,Data Analytics Lead,176000,USD,176000,US,100,US,M
2025,SE,FT,Consultant,170640,USD,170640,US,100,US,M
2025,SE,FT,Data Scientist,160000,USD,160000,US,100,US,M
2025,MI,FT,Data Product Owner,224000,USD,224000,US,100,US,M
2025,MI,FT,Data Engineer,175000,USD,175000,US,100,US,M
2025,MI,FT,Data Engineer,137300,USD,137300,US,100,US,M
2025,SE,FT,Analytics Engineer,137000,USD,137000,CA,100,CA,M
2025,SE,FT,Data Engineer,90000,USD,90000,US,100,US,M
2025,MI,FT,Analytics Engineer,132700,USD,132700,US,100,US,M
2025,SE,FT,Engineer,60940,EUR,64147,AT,100,AT,M
2025,SE,FT,Data Scientist,184000,USD,184000,US,100,US,M
2025,EN,FT,Data Analyst,73100,USD,73100,CA,100,CA,M
2025,SE,FT,Data Engineer,210000,USD,210000,US,100,US,M
2025,SE,FT,Data Engineer,136950,USD,136950,CA,100,CA,M
2025,SE,FT,Data Lead,209200,USD,209200,US,100,US,M
2025,SE,FT,Data Engineer,81900,USD,81900,AR,100,AR,M
2025,SE,FT,Software Engineer,286000,USD,286000,US,100,US,M
2025,SE,FT,Engineer,180000,USD,180000,US,100,US,M
2025,SE,FT,Data Infrastructure Engineer,147000,USD,147000,US,100,US,M
2025,SE,FT,AI Engineer,148000,USD,148000,US,100,US,M
2025,SE,FT,Machine Learning Scientist,150000,USD,150000,US,100,US,M
2025,SE,FT,Data Engineer,136800,USD,136800,US,100,US,M
2025,SE,FT,Data Analyst,150000,USD,150000,US,100,US,M
2025,MI,FT,Data Analyst,99000,USD,99000,US,100,US,M
2025,MI,FT,Data Engineer,80000,USD,80000,US,100,US,M
2025,MI,FT,AI Engineer,88750,USD,88750,US,100,US,M
2025,SE,FT,Software Engineer,111260,USD,111260,US,100,US,M
2025,SE,FT,Software Engineer,163420,USD,163420,US,100,US,M
