work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,SE,FT,Analyst,159800,USD,159800,AU,0,AU,M
2025,SE,FT,Engineer,202800,USD,202800,US,0,US,L
2025,SE,FT,Engineer,183500,USD,183500,US,0,US,M
2025,SE,FT,Software Engineer,187600,USD,187600,US,0,US,M
2025,SE,FT,Machine Learning Engineer,245700,USD,245700,US,0,US,M
2025,SE,FT,Developer,110200,USD,110200,US,0,US,M
2025,MI,FT,Data Scientist,160800,USD,160800,US,0,US,M
2025,SE,FT,Applied Scientist,129400,USD,129400,US,0,US,L
2025,SE,FT,Engineer,115000,USD,115000,US,0,US,M
2025,SE,FT,Analytics Engineer,188000,USD,188000,CA,0,CA,M
2025,MI,FT,Data Product Manager,139700,USD,139700,US,0,US,M
2025,MI,FT,Associate,190424,USD,190424,US,0,US,M
2025,SE,FT,Data Scientist,273930,USD,273930,US,0,US,M
2025,SE,FT,Manager,132000,USD,132000,US,0,US,M
2025,MI,FT,Analyst,121300,USD,121300,US,0,US,M
2025,SE,FT,Analytics Engineer,213100,USD,213100,US,0,US,M
2025,EN,FT,Data Scientist,72000,EUR,75789,NL,0,NL,M
2025,MI,FT,Prompt Engineer,90000,USD,90000,CA,0,CA,M
2025,SE,FT,Software Engineer,172400,USD,172400,US,0,US,M
2025,EN,FT,BI Analyst,60000,USD,60000,US,0,US,M
2025,MI,FT,Machine Learning Engineer,555750,USD,555750,US,0,US,M
2025,SE,FT,Data Scientist,165600,USD,165600,US,0,US,M
2025,SE,FT,Data Scientist,138000,USD,138000,US,0,US,M
2025,SE,FT,Analyst,115920,USD,115920,US,0,US,M
2025,EX,FT,Platform Engineer,313500,USD,313500,US,0,US,M
2025,SE,FT,Data Scientist,190000,USD,190000,US,0,US,M
2025,EN,FT,Data Engineer,55308,EUR,58218,AT,0,AT,M
2025,SE,FT,Software Engineer,197000,USD,197000,US,0,US,M
2025,MI,FT,Research Engineer,350000,USD,350000,US,0,US,M
2025,SE,FT,Data Scientist,230000,USD,230000,US,0,US,M
2025,SE,FT,Engineer,168000,USD,168000,US,0,US,M
2025,MI,FT,Analyst,210000,USD,210000,US,0,US,M
2025,MI,FT,Data Manager,153925,USD,153925,US,0,US,M
2025,EN,FT,Data Analyst,82800,USD,82800,US,0,US,M
2025,MI,FT,Engineer,96000,USD,96000,US,0,US,M
2025,SE,FT,Software Engineer,240000,USD,240000,US,0,US,M
2025,MI,FT,Data Scientist,104600,USD,104600,US,0,US,M
2025,EN,FT,Data Quality Analyst,48960,USD,48960,US,0,US,M
2025,MI,PT,Data Manager,73800,USD,73800,US,0,US,M
2025,EN,FT,Data Analyst,53100,USD,53100,US,0,US,M
2025,SE,FT,Data Scientist,95000,USD,95000,US,0,US,M
2025,MI,FT,Consultant,180000,USD,180000,US,0,US,M
2025,SE,FT,Software Engineer,223400,USD,223400,US,0,US,M
2025,MI,FT,AI Developer,88000,USD,88000,US,0,US,M
2025,MI,FT,Research Fellow,36130,GBP,45734,GB,0,GB,M
2025,SE,FT,Architect,157000,USD,157000,US,0,US,M
2025,MI,FT,Data Engineer,140000,USD,140000,US,0,US,M
2025,SE,FT,Analytics Engineer,150000,USD,150000,US,0,US,M
2025,MI,FT,Manager,90000,USD,90000,US,0,US,M
