work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,SE,FT,Software Engineer,450000,PLN,110565,PL,0,PL,M
2025,SE,FT,Software Engineer,135800,USD,135800,CA,0,CA,M
2025,SE,FT,Software Engineer,170400,USD,170400,US,0,US,M
2025,SE,FT,Software Engineer,167800,USD,167800,US,0,US,M
2025,SE,FT,Software Engineer,303000,USD,303000,US,0,US,M
2025,SE,FT,Software Engineer,252000,USD,252000,US,0,US,M
2025,SE,FT,Software Engineer,117000,USD,117000,US,0,US,M
2025,SE,FT,Software Engineer,137000,CAD,97857,CA,0,CA,M
2025,SE,FT,Software Engineer,182100,USD,182100,US,0,US,M
2025,SE,FT,Software Engineer,120400,USD,120400,US,0,US,M
2025,SE,FT,Software Engineer,197000,USD,197000,US,0,US,M
2025,SE,FT,Software Engineer,49200,EUR,51789,LT,0,LT,M
2025,SE,FT,Software Engineer,225000,USD,225000,US,0,US,M
2025,SE,FT,Software Engineer,300000,USD,300000,US,0,US,M
2025,SE,FT,Software Engineer,270000,USD,270000,US,0,US,M
2025,SE,FT,Software Engineer,86900,USD,86900,US,0,US,M
2025,SE,FT,Software Engineer,117000,USD,117000,US,0,US,M
2025,SE,FT,Software Engineer,190000,USD,190000,US,0,US,M
2025,SE,FT,Software Engineer,170000,USD,170000,US,0,US,M
2025,SE,FT,Software Engineer,280600,USD,280600,US,0,US,M
2025,SE,FT,Software Engineer,155760,USD,155760,US,0,US,M
2025,SE,FT,Software Engineer,180000,USD,180000,US,0,US,M
2025,SE,FT,Software Engineer,320000,USD,320000,US,0,US,M
2025,SE,FT,Software Engineer,223000,USD,223000,US,0,US,M
2025,SE,FT,Software Engineer,175800,USD,175800,US,0,US,M
2025,SE,FT,Software Engineer,252000,USD,252000,US,0,US,M
2025,SE,FT,Software Engineer,150700,USD,150700,US,0,US,M
2025,SE,FT,Software Engineer,230000,USD,230000,US,100,US,M
2025,SE,FT,Software Engineer,227500,USD,227500,US,100,US,M
2025,SE,FT,Software Engineer,142140,USD,142140,US,100,US,M
2025,SE,FT,Software Engineer,199000,USD,199000,US,0,US,M
2025,SE,FT,Software Engineer,147500,USD,147500,US,0,US,M
2025,SE,FT,Software Engineer,118000,USD,118000,US,100,US,M
2025,SE,FT,Software Engineer,148000,USD,148000,US,0,US,M
2025,SE,FT,Software Engineer,184300,USD,184300,US,0,US,M
2025,SE,FT,Software Engineer,130900,USD,130900,US,0,US,M
2025,SE,FT,Software Engineer,60000,GBP,75949,GB,0,GB,M
2025,SE,FT,Software Engineer,176490,USD,176490,US,100,US,M
2025,SE,FT,Software Engineer,180000,USD,180000,US,100,US,M
2025,SE,FT,Software Engineer,203900,USD,203900,US,0,US,M
2025,SE,FT,Software Engineer,145600,USD,145600,US,0,US,M
2025,SE,FT,Software Engineer,110300,USD,110300,US,0,US,M
2025,SE,FT,Software Engineer,147000,USD,147000,US,0,US,M
2025,SE,FT,Software Engineer,170000,USD,170000,US,0,US,M
2025,SE,FT,Software Engineer,250000,USD,250000,US,100,US,M
2025,SE,FT,Software Engineer,219500,USD,219500,US,100,US,M
2025,SE,FT,Software Engineer,168000,USD,168000,US,0,US,M
2025,SE,FT,Software Engineer,131000,EUR,137894,ES,100,ES,M
2025,SE,FT,Software Engineer,255112,USD,255112,US,100,US,M
2025,SE,FT,Software Engineer,281770,USD,281770,US,100,US,M
2025,SE,FT,Software Engineer,355000,USD,355000,US,0,US,M
2025,SE,FT,Software Engineer,137600,USD,137600,US,0,US,M
2025,SE,FT,Software Engineer,119200,USD,119200,US,100,US,M
2025,SE,FT,Software Engineer,168000,USD,168000,US,100,US,M
2025,SE,FT,Software Engineer,220000,USD,220000,US,0,US,M
2025,SE,FT,Software Engineer,301200,USD,301200,US,0,US,M
2025,SE,FT,Software Engineer,237400,USD,237400,US,0,US,M
2025,SE,FT,Software Engineer,94000,USD,94000,CA,100,CA,M
2025,SE,FT,Software Engineer,141000,USD,141000,US,0,US,M
2025,SE,FT,Software Engineer,44400,EUR,46736,CZ,100,CZ,M
2025,SE,FT,Software Engineer,241000,USD,241000,US,0,US,M
2025,SE,FT,Software Engineer,168000,USD,168000,US,0,US,M
2025,SE,FT,Software Engineer,169800,USD,169800,US,0,US,M
2025,SE,FT,Software Engineer,116270,USD,116270,US,100,US,M
2025,SE,FT,Software Engineer,191840,USD,191840,US,100,US,M
2025,SE,FT,Software Engineer,200000,USD,200000,US,0,US,M
2025,SE,FT,Software Engineer,117000,USD,117000,US,0,US,M
2025,SE,FT,Software Engineer,155300,USD,155300,US,100,US,M
2025,SE,FT,Software Engineer,204000,USD,204000,US,0,US,M
2025,SE,FT,Software Engineer,142000,USD,142000,US,0,US,M
2025,SE,FT,Software Engineer,136000,USD,136000,US,0,US,M
2025,SE,FT,Software Engineer,216000,USD,216000,US,0,US,M
2025,SE,FT,Software Engineer,225000,USD,225000,US,100,US,M
2025,SE,FT,Software Engineer,117000,USD,117000,US,0,US,M
2025,SE,FT,Software Engineer,190000,USD,190000,US,0,US,M
2025,SE,FT,Software Engineer,115000,EUR,121052,ES,100,ES,M
2025,SE,FT,Software Engineer,214000,USD,214000,CA,0,CA,M
2025,SE,FT,Software Engineer,177000,USD,177000,US,0,US,M
2025,SE,FT,Software Engineer,200000,USD,200000,US,0,US,M
2025,SE,FT,Software Engineer,200000,USD,200000,US,100,US,M
2025,SE,FT,Software Engineer,129000,USD,129000,US,0,US,M
2025,SE,FT,Software Engineer,158000,USD,158000,US,0,US,M
2025,SE,FT,Software Engineer,180000,USD,180000,US,0,US,M
2025,SE,FT,Software Engineer,240000,USD,240000,US,100,US,M
2025,SE,FT,Software Engineer,190137,USD,190137,US,100,US,M
2025,SE,FT,Software Engineer,300000,USD,300000,US,0,US,M
2025,SE,FT,Software Engineer,246000,USD,246000,US,100,US,M
2025,SE,FT,Software Engineer,120000,USD,120000,US,0,US,M
2025,SE,FT,Software Engineer,294000,USD,294000,US,0,US,M
2025,SE,FT,Software Engineer,158355,USD,158355,US,0,US,M
2025,SE,FT,Software Engineer,249900,USD,249900,US,0,US,M
2025,SE,FT,Software Engineer,189000,USD,189000,US,0,US,M
2025,SE,FT,Software Engineer,187000,USD,187000,US,0,US,M
2025,SE,FT,Software Engineer,338270,USD,338270,US,0,US,M
2025,SE,FT,Software Engineer,126000,USD,126000,US,0,US,M
2025,SE,FT,Software Engineer,252000,USD,252000,US,0,US,M
2025,SE,FT,Software Engineer,376000,USD,376000,US,0,US,M
2025,SE,FT,Software Engineer,148000,USD,148000,US,0,US,M
2025,SE,FT,Software Engineer,147000,EUR,154736,ES,100,ES,M
2025,SE,FT,Software Engineer,191000,USD,191000,US,0,US,M
2025,SE,FT,Software Engineer,275000,USD,275000,US,100,US,M
2025,SE,FT,Software Engineer,334600,USD,334600,US,0,US,M
2025,SE,FT,Software Engineer,190000,USD,190000,US,0,US,M
2025,SE,FT,Software Engineer,191100,USD,191100,CA,100,CA,M
2025,SE,FT,Software Engineer,90000,USD,90000,US,0,US,M
2025,SE,FT,Software Engineer,221500,USD,221500,US,100,US,M
2025,SE,FT,Software Engineer,97388,USD,97388,US,0,US,M
2025,SE,FT,Software Engineer,220350,USD,220350,US,0,US,M
2025,SE,FT,Software Engineer,264000,USD,264000,US,0,US,M
2025,SE,FT,Software Engineer,303500,USD,303500,US,0,US,M
2025,SE,FT,Software Engineer,192901,USD,192901,US,0,US,M
2025,SE,FT,Software Engineer,250200,USD,250200,US,0,US,M
2025,SE,FT,Software Engineer,250000,USD,250000,US,0,US,M
2025,SE,FT,Software Engineer,156400,USD,156400,US,0,US,M
2025,SE,FT,Software Engineer,213000,USD,213000,US,100,US,M
2025,SE,FT,Software Engineer,170000,USD,170000,US,100,US,M
2025,SE,FT,Software Engineer,152889,USD,152889,US,0,US,M
2025,SE,FT,Software Engineer,294000,USD,294000,US,0,US,M
2025,SE,FT,Software Engineer,133650,USD,133650,US,100,US,M
2025,SE,FT,Software Engineer,304200,USD,304200,US,0,US,M
2025,SE,FT,Software Engineer,325000,USD,325000,US,0,US,M
2025,SE,FT,Software Engineer,130000,USD,130000,US,0,US,M
2025,SE,FT,Software Engineer,244000,USD,244000,US,0,US,M
2025,SE,FT,Software Engineer,271000,PLN,66584,PL,0,PL,M
2025,SE,FT,Software Engineer,291000,USD,291000,US,0,US,M
2025,SE,FT,Software Engineer,200000,USD,200000,US,0,US,M
2025,SE,FT,Software Engineer,180000,USD,180000,US,0,US,M
2025,SE,FT,Software Engineer,140000,USD,140000,US,0,US,M
2025,SE,FT,Software Engineer,260000,USD,260000,US,0,US,M
2025,SE,FT,Software Engineer,257800,USD,257800,US,0,US,M
2025,SE,FT,Software Engineer,230000,USD,230000,US,0,US,M
2025,SE,FT,Software Engineer,200000,USD,200000,US,0,US,M
2025,SE,FT,Software Engineer,212160,USD,212160,US,0,US,M
